iter	BalancedAccuracy	Logloss
0	0.7694278391	0.6133579034
1	0.7764548376	0.5474535765
2	0.769769611	0.4897184589
3	0.7704562363	0.4434799616
4	0.7732175064	0.3990630309
5	0.7742851603	0.3663924791
6	0.7764229168	0.3389047321
7	0.7760584394	0.3172765072
8	0.774626626	0.2992267305
9	0.7749707379	0.2811260247
10	0.7759910748	0.2671710226
11	0.7764689099	0.2552496853
12	0.7759603775	0.2454916991
13	0.775989709	0.2363110511
14	0.7774768095	0.2280625856
15	0.7781691991	0.2198661838
16	0.7783840112	0.2142886039
17	0.778565644	0.2088457742
18	0.7785550964	0.2043986553
19	0.7793419828	0.1998305897
20	0.7809063763	0.1956317909
21	0.7819374583	0.191241589
22	0.7831922766	0.187907614
23	0.7841662671	0.1849554774
24	0.7855080925	0.182137784
25	0.7872077122	0.1792035712
26	0.7883070944	0.1768753827
27	0.7890256806	0.1748660551
28	0.7897421797	0.1725674224
29	0.7904795331	0.1707952159
30	0.7917919667	0.1693483256
31	0.7926521694	0.1678864322
32	0.7936113092	0.1665669789
33	0.793316481	0.1656516961
34	0.7943053993	0.1640797057
35	0.7945323307	0.1630592345
36	0.7956919993	0.1620227922
37	0.7960093906	0.1609242009
38	0.7968523894	0.1600001995
39	0.7981383602	0.1586985063
40	0.799301224	0.1576697735
41	0.8003369354	0.1565374439
42	0.8011045308	0.1553814588
43	0.8019320177	0.1546035323
44	0.802996013	0.1540199389
45	0.8035121121	0.1532458493
46	0.8041514472	0.1524100415
47	0.8049704652	0.1517476451
48	0.8055946835	0.151324007
49	0.8066473411	0.1504427582
50	0.8071151441	0.1498935949
51	0.8076544423	0.1493459018
52	0.8085067602	0.1486553897
53	0.8094817985	0.1477877398
54	0.8103305347	0.1473099092
55	0.8111037989	0.146748089
56	0.8119091261	0.1461132473
57	0.8125840456	0.1456264059
58	0.8132760402	0.145139772
59	0.8139453595	0.1447315901
60	0.8144242424	0.1441337503
61	0.8150364016	0.1436265475
62	0.8157931147	0.1431566933
63	0.8163377554	0.1426425834
64	0.8168873519	0.1421877066
65	0.8174917553	0.1415341487
66	0.8184628168	0.141064631
67	0.8188080969	0.1406972828
68	0.8197351052	0.1402087079
69	0.8204328372	0.1399066491
70	0.8209606003	0.1394095816
71	0.82157087	0.1390012669
72	0.8224289253	0.1385926783
73	0.8231030029	0.1381633233
74	0.8235509308	0.1377708946
