iter	Passed	Remaining
0	276	54924
1	577	57178
2	920	60463
3	1255	61510
4	1634	63738
5	2027	65563
6	2334	64360
7	2642	63413
8	2912	61806
9	3195	60708
10	4082	70143
11	5135	80455
12	5801	83445
13	6229	82765
14	6493	80084
15	6741	77532
16	6959	74921
17	7192	72723
18	7425	70732
19	7669	69029
20	7918	67498
21	8223	66536
22	8504	65448
23	8731	64031
24	8952	62670
25	9190	61507
26	9433	60442
27	9710	59647
28	9939	58610
29	10199	57797
30	10532	57419
31	10888	57165
32	11243	56897
33	11558	56431
34	11860	55912
35	12208	55615
36	12405	54652
37	12633	53860
38	12851	53055
39	13065	52262
40	13310	51618
41	13625	51258
42	13945	50917
43	14274	50610
44	14604	50304
45	14812	49588
46	15155	49337
47	15428	48857
48	15627	48156
49	15881	47645
50	16189	47299
51	16569	47158
52	16856	46751
53	17078	46174
54	17296	45600
55	17503	45008
56	17749	44530
57	17997	44063
58	18247	43608
59	18444	43038
60	18664	42531
61	18886	42037
62	19093	41520
63	19345	41109
64	19555	40614
65	19772	40143
66	19988	39679
67	20310	39425
68	20528	38974
69	20731	38501
70	20977	38113
71	21234	37751
72	21426	37276
73	21667	36892
74	21860	36433
75	22057	35989
76	22244	35533
77	22452	35117
78	22661	34709
79	22866	34300
80	23072	33896
81	23272	33489
82	23587	33250
83	23891	32992
84	24170	32700
85	24513	32494
86	24764	32164
87	24962	31770
88	25220	31454
89	25434	31087
90	25633	30703
91	25863	30361
92	26130	30064
93	26341	29704
94	26533	29326
95	26752	28981
96	26949	28616
97	27158	28267
98	27355	27907
99	27552	27552
100	27791	27241
101	27978	26881
102	28225	26581
103	28441	26253
104	28642	25914
105	28842	25576
106	29040	25240
107	29232	24901
108	29423	24564
109	29625	24238
110	29831	23918
111	30027	23592
112	30221	23267
113	30411	22941
114	30610	22625
115	30845	22336
116	31089	22054
117	31305	21754
118	31553	21477
119	31788	21192
120	32000	20892
121	32372	20697
122	32646	20437
123	32913	20172
124	33117	19870
125	33324	19571
126	33518	19266
127	33727	18971
128	33928	18673
129	34140	18383
130	34368	18102
131	34601	17825
132	34804	17533
133	35013	17245
134	35206	16951
135	35422	16669
136	35647	16392
137	35824	16095
138	36032	15812
139	36270	15544
140	36470	15260
141	36665	14976
142	36868	14695
143	37075	14418
144	37301	14148
145	37502	13870
146	37709	13595
147	37915	13321
148	38119	13047
149	38309	12769
150	38525	12501
151	38776	12245
152	39028	11989
153	39238	11720
154	39445	11451
155	39649	11183
156	39876	10921
157	40106	10661
158	40332	10400
159	40595	10148
160	40809	9885
161	41013	9620
162	41244	9362
163	41441	9096
164	41651	8835
165	41855	8572
166	42091	8317
167	42315	8060
168	42529	7801
169	42743	7542
170	42942	7282
171	43162	7026
172	43363	6767
173	43562	6509
174	43777	6253
175	43982	5997
176	44226	5747
177	44454	5494
178	44657	5239
179	44878	4986
180	45096	4733
181	45300	4480
182	45507	4227
183	45710	3974
184	45903	3721
185	46145	3473
186	46394	3225
187	46630	2976
188	46883	2728
189	47183	2483
190	47419	2234
191	47760	1990
192	47980	1740
193	48252	1492
194	48469	1242
195	48689	993
196	48906	744
197	49110	496
198	49306	247
199	49517	0
